***********************************************************************
* Exchange coefficients between boxes of the 3-D structure
* for PECULIAR hydraulic situation
***********************************************************************
15                                                  Coefficient quantity
Initial box               |  Terminal box             |
Planar N     Vertical N   |  Planar N      Vertical N |Exchange (km3/y)
           2    1       3    2     265.0000    
          33    2      34    1     111.2538    
          34    1      33    2     393.9482    
          34    1      35    2     242.2082    
          35    2      34    1     524.9012    
          35    2      44    1     250.7000    
          44    1      35    2     107.4678    
          36    2      45    1     515.005    
          45    1      36    2     612.048    
          45    1      46    2     971.995    
          46    2      45    1     773.553    
          46    2      48    1     167.5751    
          48    1      46    2     156.8336    
          47    2      48    1     15.7765    
          48    1      47    2     65.5155    













